,date_time,start,end,p1,p2,Exchange Number,timeframe,ticker_symbol
0,2022-04-01 04:00:00,175.25,175.88,175.13,175.2,2441,1min,AAPL
1,2022-04-01 04:01:00,175.2,175.45,175.1,175.45,2245,1min,AAPL
2,2022-04-01 04:02:00,175.42,175.45,175.38,175.45,1795,1min,AAPL
3,2022-04-01 04:03:00,175.44,175.45,175.43,175.45,1196,1min,AAPL
4,2022-04-01 04:05:00,175.45,175.45,175.4,175.4,1976,1min,AAPL
5,2022-04-01 04:06:00,175.38,175.38,175.38,175.38,200,1min,AAPL
6,2022-04-01 04:07:00,175.37,175.4,175.37,175.4,291,1min,AAPL
7,2022-04-01 04:08:00,175.4,175.43,175.4,175.43,770,1min,AAPL
8,2022-04-01 04:09:00,175.37,175.37,175.37,175.37,150,1min,AAPL
9,2022-04-01 04:10:00,175.44,175.44,175.44,175.44,100,1min,AAPL
10,2022-04-01 04:11:00,175.35,175.37,175.35,175.37,1743,1min,AAPL
11,2022-04-01 04:13:00,175.37,175.37,175.37,175.37,440,1min,AAPL
12,2022-04-01 04:14:00,175.3,175.3,175.3,175.3,131,1min,AAPL
13,2022-04-01 04:15:00,175.23,175.3,175.17,175.17,1490,1min,AAPL
14,2022-04-01 04:17:00,175.19,175.19,175.19,175.19,242,1min,AAPL
15,2022-04-01 04:18:00,175.19,175.19,175.19,175.19,232,1min,AAPL
16,2022-04-01 04:21:00,175.22,175.24,175.22,175.24,441,1min,AAPL
17,2022-04-01 04:23:00,175.41,175.42,175.41,175.42,887,1min,AAPL
18,2022-04-01 04:24:00,175.42,175.42,175.42,175.42,100,1min,AAPL
19,2022-04-01 04:25:00,175.35,175.35,175.35,175.35,889,1min,AAPL
20,2022-04-01 04:26:00,175.42,175.42,175.42,175.42,317,1min,AAPL
21,2022-04-01 04:29:00,175.34,175.35,175.34,175.35,1816,1min,AAPL
22,2022-04-01 04:32:00,175.32,175.32,175.32,175.32,260,1min,AAPL
23,2022-04-01 04:33:00,175.35,175.35,175.32,175.32,1506,1min,AAPL
24,2022-04-01 04:38:00,175.37,175.37,175.37,175.37,112,1min,AAPL
25,2022-04-01 04:45:00,175.36,175.37,175.36,175.37,1834,1min,AAPL
26,2022-04-01 04:47:00,175.27,175.27,175.27,175.27,263,1min,AAPL
27,2022-04-01 04:49:00,175.31,175.31,175.31,175.31,150,1min,AAPL
28,2022-04-01 04:53:00,175.26,175.26,175.26,175.26,400,1min,AAPL
29,2022-04-01 05:00:00,175.32,175.32,175.21,175.21,712,1min,AAPL
30,2022-04-01 05:01:00,175.18,175.19,175.18,175.19,600,1min,AAPL
31,2022-04-01 05:03:00,175.13,175.13,175.1,175.1,807,1min,AAPL
32,2022-04-01 05:06:00,175.07,175.07,175.06,175.06,474,1min,AAPL
33,2022-04-01 05:08:00,175.07,175.07,175.07,175.07,123,1min,AAPL
34,2022-04-01 05:11:00,175.06,175.06,175.06,175.06,130,1min,AAPL
35,2022-04-01 05:15:00,175.06,175.06,175.06,175.06,665,1min,AAPL
36,2022-04-01 05:18:00,175.09,175.09,175.09,175.09,133,1min,AAPL
37,2022-04-01 05:22:00,175.07,175.23,175.07,175.23,1459,1min,AAPL
38,2022-04-01 05:24:00,175.18,175.18,175.18,175.18,357,1min,AAPL
39,2022-04-01 05:30:00,175.2,175.3,175.2,175.29,459,1min,AAPL
40,2022-04-01 05:32:00,175.32,175.32,175.32,175.32,127,1min,AAPL
41,2022-04-01 05:33:00,175.29,175.31,175.29,175.31,3028,1min,AAPL
42,2022-04-01 05:34:00,175.29,175.32,175.29,175.32,2430,1min,AAPL
43,2022-04-01 05:41:00,175.26,175.26,175.26,175.26,133,1min,AAPL
44,2022-04-01 05:43:00,175.05,175.05,175.04,175.04,200,1min,AAPL
45,2022-04-01 05:48:00,175.15,175.15,175.15,175.15,270,1min,AAPL
46,2022-04-01 05:51:00,175.1,175.1,175.1,175.1,216,1min,AAPL
47,2022-04-01 05:52:00,175.2,175.2,175.2,175.2,651,1min,AAPL
48,2022-04-01 05:57:00,175.34,175.34,175.34,175.34,290,1min,AAPL
49,2022-04-01 05:58:00,175.36,175.36,175.36,175.36,228,1min,AAPL
50,2022-04-01 05:59:00,175.38,175.38,175.31,175.31,200,1min,AAPL
51,2022-04-01 06:01:00,175.43,175.48,175.43,175.44,2320,1min,AAPL
52,2022-04-01 06:03:00,175.38,175.38,175.38,175.38,119,1min,AAPL
53,2022-04-01 06:04:00,175.36,175.36,175.33,175.33,894,1min,AAPL
54,2022-04-01 06:05:00,175.38,175.45,175.38,175.45,2156,1min,AAPL
55,2022-04-01 06:06:00,175.48,175.5,175.48,175.5,1148,1min,AAPL
56,2022-04-01 06:07:00,175.5,175.5,175.5,175.5,400,1min,AAPL
57,2022-04-01 06:08:00,175.5,175.54,175.5,175.5,3300,1min,AAPL
58,2022-04-01 06:11:00,175.54,175.54,175.52,175.54,1188,1min,AAPL
59,2022-04-01 06:12:00,175.52,175.52,175.52,175.52,170,1min,AAPL
60,2022-04-01 06:13:00,175.5,175.5,175.5,175.5,1200,1min,AAPL
61,2022-04-01 06:14:00,175.51,175.51,175.45,175.45,2867,1min,AAPL
62,2022-04-01 06:16:00,175.5,175.5,175.5,175.5,100,1min,AAPL
63,2022-04-01 06:17:00,175.5,175.5,175.5,175.5,6379,1min,AAPL
64,2022-04-01 06:18:00,175.49,175.51,175.49,175.51,10239,1min,AAPL
65,2022-04-01 06:23:00,175.51,175.51,175.5,175.5,10361,1min,AAPL
66,2022-04-01 06:24:00,175.51,175.51,175.51,175.51,100,1min,AAPL
67,2022-04-01 06:25:00,175.51,175.51,175.51,175.51,299,1min,AAPL
68,2022-04-01 06:26:00,175.5,175.5,175.5,175.5,840,1min,AAPL
69,2022-04-01 06:27:00,175.5,175.5,175.5,175.5,988,1min,AAPL
70,2022-04-01 06:28:00,175.5,175.5,175.5,175.5,906,1min,AAPL
71,2022-04-01 06:33:00,175.5,175.5,175.5,175.5,1487,1min,AAPL
